unix_time,latitude_deg,longitude_deg,altitude_m,fix_quality,hdop
1770009485.2020295,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009486.2137969,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009487.2145717,42.318263333333334,-71.05767666666667,27.0,2,0.93
1770009488.2085648,42.318265000000004,-71.05767833333333,27.0,2,0.93
1770009489.2167923,42.318263333333334,-71.05767666666667,27.0,2,0.88
1770009490.2094831,42.318265000000004,-71.05767666666667,27.0,2,0.88
1770009491.2093234,42.318265000000004,-71.05767666666667,27.0,2,0.88
1770009492.2027516,42.318265000000004,-71.057675,27.0,2,0.93
1770009493.2027698,42.318265000000004,-71.057675,27.0,2,0.93
1770009494.2020106,42.318265000000004,-71.05767666666667,27.0,2,0.93
1770009495.2050042,42.318265000000004,-71.05767833333333,27.0,2,0.93
1770009496.202923,42.318263333333334,-71.05767833333333,27.0,2,0.93
1770009497.207952,42.318263333333334,-71.05768166666667,27.0,2,0.88
1770009498.2026749,42.318263333333334,-71.05767999999999,27.0,2,0.88
1770009499.2103245,42.318263333333334,-71.05768166666667,27.0,2,0.88
1770009500.209907,42.318263333333334,-71.05767999999999,27.0,2,0.88
1770009501.2166574,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009502.2077897,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009503.2030168,42.318261666666665,-71.05767999999999,27.0,2,0.88
1770009504.2098377,42.318261666666665,-71.05767833333333,27.0,2,0.88
1770009505.20976,42.318263333333334,-71.05767833333333,27.0,2,0.88
1770009506.2047796,42.318265000000004,-71.05767999999999,26.9,2,0.88
1770009507.205573,42.31826666666666,-71.05767833333333,27.0,2,0.88
1770009508.2077878,42.318265000000004,-71.05767999999999,27.0,2,0.88
1770009509.2149088,42.31826666666666,-71.05767833333333,27.0,2,0.88
1770009510.2107527,42.318265000000004,-71.05767999999999,26.9,2,0.88
1770009511.21586,42.31826666666666,-71.05767999999999,26.9,2,0.88
1770009512.203377,42.31826833333333,-71.05767833333333,26.9,2,0.88
1770009513.209928,42.31827,-71.05767999999999,26.9,2,0.88
1770009514.2031958,42.31827,-71.05768166666667,26.9,2,0.88
1770009515.2025588,42.31827,-71.05768333333334,26.9,2,0.88
1770009516.2026427,42.31827166666667,-71.05768333333334,26.9,2,0.88
1770009517.2088149,42.31827333333334,-71.05768333333334,26.9,2,0.88
1770009518.2036228,42.31827499999999,-71.05768166666667,26.9,2,0.88
1770009519.2107604,42.31827499999999,-71.05768333333334,26.9,2,0.88
1770009520.2081854,42.31827499999999,-71.05768166666667,26.9,2,0.88
1770009521.2030118,42.31827833333333,-71.05768166666667,26.9,2,0.88
1770009522.2078233,42.31828,-71.05768166666667,26.9,2,0.88
1770009523.2040899,42.31828,-71.05767999999999,26.9,2,0.88
1770009524.208265,42.318283333333326,-71.05767999999999,26.9,2,0.88
1770009525.2120676,42.318283333333326,-71.05767999999999,26.9,2,0.88
1770009526.214734,42.31828166666666,-71.05767999999999,26.9,2,0.88
1770009527.2095652,42.31828166666666,-71.05767999999999,26.9,2,0.88
1770009528.210394,42.31828,-71.05768166666667,26.9,2,0.88
1770009529.2167954,42.31828166666666,-71.05767833333333,26.9,2,0.88
1770009530.2087178,42.31828,-71.05767999999999,26.9,2,0.93
1770009531.2045314,42.31828,-71.05767999999999,26.9,2,0.88
1770009532.2144723,42.31827833333333,-71.05767833333333,26.9,2,0.88
1770009533.2036352,42.31827833333333,-71.05767666666667,26.9,2,0.88
1770009534.2079206,42.31827833333333,-71.057675,26.9,2,0.88
1770009535.2047021,42.31828,-71.05767666666667,26.9,2,0.88
1770009536.2038012,42.31828,-71.05767666666667,26.9,2,0.88
1770009537.216898,42.31828166666666,-71.05767666666667,26.9,2,0.88
1770009538.2095246,42.31828166666666,-71.057675,26.9,2,0.88
1770009539.207946,42.318283333333326,-71.05767833333333,26.9,2,0.88
1770009540.210381,42.318283333333326,-71.057675,26.9,2,0.88
1770009541.2168105,42.318283333333326,-71.05767666666667,26.9,2,0.88
1770009542.2149596,42.31828166666666,-71.05767666666667,26.8,2,0.88
1770009543.2169313,42.318283333333326,-71.05767833333333,26.8,2,0.88
1770009544.202881,42.318284999999996,-71.05767999999999,26.8,2,0.88
1770009545.2148583,42.31828666666667,-71.05768166666667,26.9,2,0.88
1770009546.2100754,42.31828666666667,-71.05767999999999,26.9,2,0.88
1770009547.214896,42.31828666666667,-71.05767999999999,26.9,2,0.88
1770009548.202694,42.31828666666667,-71.05768333333334,26.9,2,0.88
1770009549.213549,42.31828666666667,-71.057685,26.8,2,0.88
1770009550.2148697,42.31828833333334,-71.057685,26.8,2,0.88
1770009551.2095835,42.31829,-71.057685,26.8,2,0.88
1770009552.2027717,42.31829333333334,-71.05768166666667,26.8,2,0.88
1770009553.2141495,42.31829166666667,-71.05768333333334,26.8,2,1.17
1770009554.208778,42.318295000000006,-71.05767999999999,26.8,2,1.16
1770009555.2164743,42.318295000000006,-71.05768166666667,26.8,2,1.17
1770009556.209173,42.318295000000006,-71.05767999999999,26.8,2,1.17
1770009557.202716,42.318295000000006,-71.05767999999999,26.8,2,1.17
1770009558.2085674,42.31829666666666,-71.05767833333333,26.8,2,1.17
1770009559.2095802,42.31829666666666,-71.05767833333333,26.8,2,1.17
1770009560.2085712,42.31829666666666,-71.05767666666667,26.8,2,1.17
1770009561.2047908,42.31829666666666,-71.057675,26.8,2,1.17
1770009562.2139688,42.31829666666666,-71.05767333333333,26.8,2,1.17
1770009563.2076242,42.31829666666666,-71.05767166666666,26.8,2,1.17
1770009564.2138221,42.31829333333334,-71.05767166666666,26.8,2,1.17
1770009565.2039464,42.318295000000006,-71.05767,26.8,2,1.17
1770009566.207782,42.318295000000006,-71.05767,26.8,2,1.17
